Source,Target,Hamming,Color
S_A1680;size=43;,S_A21927;size=8;,2,white
S_A1680;size=43;,S_A27437;size=2;,1,black
S_A1680;size=43;,S_A27732;size=2;,3,white
S_A1680;size=43;,S_A211376;size=1;,3,white
S_A1680;size=43;,S_A216451;size=1;,2,white
S_A1680;size=43;,S_A225534;size=1;,3,white
S_A1680;size=43;,S_A229564;size=1;,3,white
S_A1680;size=43;,S_A234235;size=1;,2,white
S_A1680;size=43;,S_A235973;size=1;,2,white
S_A1680;size=43;,S_A3670;size=14;,2,white
S_A1680;size=43;,S_A32665;size=3;,3,white
S_A1680;size=43;,S_A32803;size=3;,2,white
S_A1680;size=43;,S_A310931;size=1;,3,white
S_A1680;size=43;,S_A313097;size=1;,3,white
S_A1680;size=43;,S_A313751;size=1;,3,white
S_A1680;size=43;,S_A316056;size=1;,3,white
S_A1680;size=43;,S_A316277;size=1;,3,white
S_A1680;size=43;,S_A318369;size=1;,3,white
S_A1680;size=43;,S_A320209;size=1;,3,white
S_A1680;size=43;,S_A322437;size=1;,3,white
S_A1680;size=43;,S_A323791;size=1;,3,white
S_A1680;size=43;,S_A323925;size=1;,3,white
S_A1680;size=43;,S_A325270;size=1;,3,white
S_A1680;size=43;,S_A336551;size=1;,3,white
S_A1680;size=43;,S_A338860;size=1;,2,white
S_A1680;size=43;,S_A354041;size=1;,3,white
S_A1680;size=43;,S_A356159;size=1;,3,white
S_A1680;size=43;,S_A356166;size=1;,2,white
S_A1680;size=43;,S_A364710;size=1;,3,white
S_A1680;size=43;,S_A364869;size=1;,3,white
S_A1680;size=43;,S_A368957;size=1;,2,white
S_A1680;size=43;,S_A371946;size=1;,1,black
S_A1680;size=43;,S_A374030;size=1;,2,white
S_A1680;size=43;,S_TP2172;size=3;,3,white
S_A1680;size=43;,S_TP3153;size=2;,3,white
S_A1680;size=43;,S_TP18911;size=1;,3,white
S_A1680;size=43;,S_TP20229;size=1;,2,white
S_A1860;size=35;,S_A1958;size=31;,3,white
S_A1860;size=35;,S_A11603;size=19;,2,white
S_A1860;size=35;,S_A11672;size=19;,3,white
S_A1860;size=35;,S_A13834;size=7;,3,white
S_A1860;size=35;,S_A14328;size=5;,2,white
S_A1860;size=35;,S_A15086;size=4;,3,white
S_A1860;size=35;,S_A15327;size=4;,1,black
S_A1860;size=35;,S_A17066;size=2;,2,white
S_A1860;size=35;,S_A18195;size=2;,2,white
S_A1860;size=35;,S_A114116;size=1;,2,white
S_A1860;size=35;,S_A114703;size=1;,3,white
S_A1860;size=35;,S_A116244;size=1;,3,white
S_A1860;size=35;,S_A116797;size=1;,3,white
S_A1860;size=35;,S_A117493;size=1;,3,white
S_A1860;size=35;,S_A118267;size=1;,2,white
S_A1860;size=35;,S_A120606;size=1;,3,white
S_A1860;size=35;,S_A122018;size=1;,3,white
S_A1860;size=35;,S_A122480;size=1;,3,white
S_A1860;size=35;,S_A124603;size=1;,2,white
S_A1860;size=35;,S_A128227;size=1;,2,white
S_A1860;size=35;,S_A142621;size=1;,3,white
S_A1860;size=35;,S_A143772;size=1;,3,white
S_A1860;size=35;,S_A144016;size=1;,3,white
S_A1860;size=35;,S_A145103;size=1;,3,white
S_A1860;size=35;,S_A2249;size=102;,2,white
S_A1860;size=35;,S_A2456;size=49;,2,white
S_A1860;size=35;,S_A2635;size=33;,2,white
S_A1860;size=35;,S_A21927;size=8;,3,white
S_A1860;size=35;,S_A27437;size=2;,2,white
S_A1860;size=35;,S_A27732;size=2;,3,white
S_A1860;size=35;,S_A211376;size=1;,3,white
S_A1860;size=35;,S_A216451;size=1;,3,white
S_A1860;size=35;,S_A223220;size=1;,3,white
S_A1860;size=35;,S_A225534;size=1;,3,white
S_A1860;size=35;,S_A226174;size=1;,3,white
S_A1860;size=35;,S_A233361;size=1;,3,white
S_A1860;size=35;,S_A234235;size=1;,2,white
S_A1860;size=35;,S_A235919;size=1;,3,white
S_A1860;size=35;,S_A235973;size=1;,3,white
S_A1860;size=35;,S_A239069;size=1;,3,white
S_A1860;size=35;,S_A3670;size=14;,3,white
S_A1860;size=35;,S_A32665;size=3;,3,white
S_A1860;size=35;,S_A32803;size=3;,1,black
S_A1860;size=35;,S_A318369;size=1;,3,white
S_A1860;size=35;,S_A322437;size=1;,3,white
S_A1860;size=35;,S_A323791;size=1;,3,white
S_A1860;size=35;,S_A336551;size=1;,3,white
S_A1860;size=35;,S_A338860;size=1;,3,white
S_A1860;size=35;,S_A356159;size=1;,3,white
S_A1860;size=35;,S_A356166;size=1;,2,white
S_A1860;size=35;,S_A360584;size=1;,3,white
S_A1860;size=35;,S_A364710;size=1;,3,white
S_A1860;size=35;,S_A368957;size=1;,3,white
S_A1860;size=35;,S_A371946;size=1;,2,white
S_A1860;size=35;,S_A374030;size=1;,3,white
S_A1860;size=35;,S_TP3153;size=2;,3,white
S_A1860;size=35;,S_TP18911;size=1;,3,white
S_A1860;size=35;,S_TP19044;size=1;,3,white
S_A1860;size=35;,S_TP20229;size=1;,3,white
S_A1958;size=31;,S_A11603;size=19;,3,white
S_A1958;size=31;,S_A11672;size=19;,3,white
S_A1958;size=31;,S_A12738;size=10;,3,white
S_A1958;size=31;,S_A14328;size=5;,3,white
S_A1958;size=31;,S_A17066;size=2;,1,black
S_A1958;size=31;,S_A110749;size=1;,3,white
S_A1958;size=31;,S_A113471;size=1;,3,white
S_A1958;size=31;,S_A114116;size=1;,2,white
S_A1958;size=31;,S_A115449;size=1;,3,white
S_A1958;size=31;,S_A118267;size=1;,3,white
S_A1958;size=31;,S_A122417;size=1;,1,black
S_A1958;size=31;,S_A122480;size=1;,3,white
S_A1958;size=31;,S_A124603;size=1;,3,white
S_A1958;size=31;,S_A137112;size=1;,3,white
S_A1958;size=31;,S_A142375;size=1;,3,white
S_A1958;size=31;,S_A143772;size=1;,3,white
S_A1958;size=31;,S_A144016;size=1;,3,white
S_A1958;size=31;,S_A145103;size=1;,2,white
S_A1958;size=31;,S_A2249;size=102;,3,white
S_A1958;size=31;,S_A2635;size=33;,3,white
S_A1958;size=31;,S_A21927;size=8;,2,white
S_A1958;size=31;,S_A27437;size=2;,3,white
S_A1958;size=31;,S_A216451;size=1;,2,white
S_A1958;size=31;,S_A226174;size=1;,3,white
S_A1958;size=31;,S_A235973;size=1;,3,white
S_A1958;size=31;,S_A3670;size=14;,2,white
S_A1958;size=31;,S_A316056;size=1;,3,white
S_A1958;size=31;,S_A316277;size=1;,3,white
S_A1958;size=31;,S_A320209;size=1;,3,white
S_A1958;size=31;,S_A322437;size=1;,3,white
S_A1958;size=31;,S_A323791;size=1;,3,white
S_A1958;size=31;,S_A325270;size=1;,3,white
S_A1958;size=31;,S_A336551;size=1;,3,white
S_A1958;size=31;,S_A338860;size=1;,2,white
S_A1958;size=31;,S_A354041;size=1;,3,white
S_A1958;size=31;,S_A364869;size=1;,2,white
S_A1958;size=31;,S_A368957;size=1;,2,white
S_A1958;size=31;,S_A371946;size=1;,3,white
S_A1958;size=31;,S_TP2172;size=3;,3,white
S_A11603;size=19;,S_A14328;size=5;,2,white
S_A11603;size=19;,S_A15327;size=4;,3,white
S_A11603;size=19;,S_A17066;size=2;,2,white
S_A11603;size=19;,S_A110749;size=1;,2,white
S_A11603;size=19;,S_A114116;size=1;,2,white
S_A11603;size=19;,S_A115449;size=1;,2,white
S_A11603;size=19;,S_A122018;size=1;,1,black
S_A11603;size=19;,S_A122480;size=1;,2,white
S_A11603;size=19;,S_A124603;size=1;,3,white
S_A11603;size=19;,S_A127967;size=1;,3,white
S_A11603;size=19;,S_A137112;size=1;,3,white
S_A11603;size=19;,S_A142375;size=1;,2,white
S_A11603;size=19;,S_A142621;size=1;,1,black
S_A11603;size=19;,S_A143772;size=1;,3,white
S_A11603;size=19;,S_A144016;size=1;,1,black
S_A11603;size=19;,S_A145103;size=1;,3,white
S_A11603;size=19;,S_A2249;size=102;,2,white
S_A11603;size=19;,S_A2635;size=33;,2,white
S_A11603;size=19;,S_A21927;size=8;,3,white
S_A11603;size=19;,S_A215798;size=1;,3,white
S_A11603;size=19;,S_A219568;size=1;,2,white
S_A11603;size=19;,S_A223220;size=1;,3,white
S_A11603;size=19;,S_A225534;size=1;,3,white
S_A11603;size=19;,S_A226174;size=1;,3,white
S_A11603;size=19;,S_A233361;size=1;,1,black
S_A11603;size=19;,S_A235919;size=1;,1,black
S_A11603;size=19;,S_A239069;size=1;,3,white
S_A11603;size=19;,S_A239399;size=1;,2,white
S_A11603;size=19;,S_A3670;size=14;,3,white
S_A11603;size=19;,S_A32803;size=3;,3,white
S_A11603;size=19;,S_A322437;size=1;,3,white
S_A11603;size=19;,S_A336551;size=1;,2,white
S_A11603;size=19;,S_A338860;size=1;,1,black
S_A11603;size=19;,S_A349756;size=1;,3,white
S_A11603;size=19;,S_A354041;size=1;,2,white
S_A11603;size=19;,S_A354807;size=1;,2,white
S_A11603;size=19;,S_A355144;size=1;,3,white
S_A11603;size=19;,S_A360584;size=1;,3,white
S_A11603;size=19;,S_A368957;size=1;,3,white
S_A11603;size=19;,S_TP18745;size=1;,3,white
S_A11603;size=19;,S_TP19044;size=1;,3,white
S_A11672;size=19;,S_A13834;size=7;,2,white
S_A11672;size=19;,S_A14328;size=5;,3,white
S_A11672;size=19;,S_A15086;size=4;,2,white
S_A11672;size=19;,S_A15327;size=4;,2,white
S_A11672;size=19;,S_A17049;size=2;,3,white
S_A11672;size=19;,S_A17536;size=2;,2,white
S_A11672;size=19;,S_A114703;size=1;,3,white
S_A11672;size=19;,S_A115754;size=1;,3,white
S_A11672;size=19;,S_A116244;size=1;,2,white
S_A11672;size=19;,S_A116797;size=1;,3,white
S_A11672;size=19;,S_A118267;size=1;,2,white
S_A11672;size=19;,S_A128227;size=1;,3,white
S_A11672;size=19;,S_A143177;size=1;,3,white
S_A11672;size=19;,S_A143772;size=1;,2,white
S_A11672;size=19;,S_A2456;size=49;,2,white
S_A11672;size=19;,S_A21927;size=8;,3,white
S_A11672;size=19;,S_A27732;size=2;,3,white
S_A11672;size=19;,S_A211376;size=1;,3,white
S_A11672;size=19;,S_A214370;size=1;,3,white
S_A11672;size=19;,S_A216451;size=1;,1,black
S_A11672;size=19;,S_A220778;size=1;,3,white
S_A11672;size=19;,S_A225534;size=1;,3,white
S_A11672;size=19;,S_A234235;size=1;,3,white
S_A11672;size=19;,S_A235973;size=1;,3,white
S_A11672;size=19;,S_A310931;size=1;,3,white
S_A11672;size=19;,S_A318369;size=1;,2,white
S_A11672;size=19;,S_A323791;size=1;,2,white
S_A11672;size=19;,S_A323793;size=1;,3,white
S_A11672;size=19;,S_A352972;size=1;,3,white
S_A11672;size=19;,S_A356159;size=1;,2,white
S_A11672;size=19;,S_A356166;size=1;,3,white
S_A11672;size=19;,S_A363739;size=1;,3,white
S_A11672;size=19;,S_A364710;size=1;,2,white
S_A11672;size=19;,S_A364872;size=1;,3,white
S_A11672;size=19;,S_A371946;size=1;,3,white
S_A11672;size=19;,S_TP3153;size=2;,2,white
S_A11672;size=19;,S_TP18911;size=1;,3,white
S_A11672;size=19;,S_TP20229;size=1;,3,white
S_A12738;size=10;,S_A14328;size=5;,2,white
S_A12738;size=10;,S_A15086;size=4;,3,white
S_A12738;size=10;,S_A15327;size=4;,3,white
S_A12738;size=10;,S_A17049;size=2;,3,white
S_A12738;size=10;,S_A17066;size=2;,2,white
S_A12738;size=10;,S_A113471;size=1;,2,white
S_A12738;size=10;,S_A114116;size=1;,3,white
S_A12738;size=10;,S_A115449;size=1;,2,white
S_A12738;size=10;,S_A117493;size=1;,3,white
S_A12738;size=10;,S_A118267;size=1;,2,white
S_A12738;size=10;,S_A120100;size=1;,3,white
S_A12738;size=10;,S_A120545;size=1;,3,white
S_A12738;size=10;,S_A121436;size=1;,3,white
S_A12738;size=10;,S_A124277;size=1;,3,white
S_A12738;size=10;,S_A127967;size=1;,2,white
S_A12738;size=10;,S_A130877;size=1;,3,white
S_A12738;size=10;,S_A135508;size=1;,2,white
S_A12738;size=10;,S_A137112;size=1;,2,white
S_A12738;size=10;,S_A142621;size=1;,3,white
S_A12738;size=10;,S_A143772;size=1;,2,white
S_A12738;size=10;,S_A145103;size=1;,3,white
S_A12738;size=10;,S_A21927;size=8;,1,black
S_A12738;size=10;,S_A216451;size=1;,3,white
S_A12738;size=10;,S_A219815;size=1;,1,black
S_A12738;size=10;,S_A220778;size=1;,3,white
S_A12738;size=10;,S_A235973;size=1;,2,white
S_A12738;size=10;,S_A3670;size=14;,3,white
S_A12738;size=10;,S_A316056;size=1;,1,black
S_A12738;size=10;,S_A320209;size=1;,2,white
S_A12738;size=10;,S_A321666;size=1;,3,white
S_A12738;size=10;,S_A322437;size=1;,2,white
S_A12738;size=10;,S_A335280;size=1;,3,white
S_A12738;size=10;,S_A338860;size=1;,3,white
S_A12738;size=10;,S_A352004;size=1;,2,white
S_A12738;size=10;,S_A354807;size=1;,3,white
S_A12738;size=10;,S_A360584;size=1;,1,black
S_A12738;size=10;,S_A363739;size=1;,3,white
S_A12738;size=10;,S_A368957;size=1;,2,white
S_A12738;size=10;,S_A371709;size=1;,3,white
S_A12738;size=10;,S_A371946;size=1;,3,white
S_A12738;size=10;,S_A374030;size=1;,3,white
S_A12738;size=10;,S_A375111;size=1;,3,white
S_A12738;size=10;,S_TP2172;size=3;,2,white
S_A12738;size=10;,S_TP20229;size=1;,3,white
S_A12738;size=10;,S_TP20496;size=1;,2,white
S_A13834;size=7;,S_A14328;size=5;,3,white
S_A13834;size=7;,S_A15086;size=4;,2,white
S_A13834;size=7;,S_A15327;size=4;,2,white
S_A13834;size=7;,S_A17049;size=2;,2,white
S_A13834;size=7;,S_A17536;size=2;,3,white
S_A13834;size=7;,S_A114703;size=1;,3,white
S_A13834;size=7;,S_A115754;size=1;,3,white
S_A13834;size=7;,S_A116244;size=1;,2,white
S_A13834;size=7;,S_A116797;size=1;,3,white
S_A13834;size=7;,S_A118267;size=1;,2,white
S_A13834;size=7;,S_A122480;size=1;,3,white
S_A13834;size=7;,S_A128227;size=1;,3,white
S_A13834;size=7;,S_A137112;size=1;,2,white
S_A13834;size=7;,S_A142621;size=1;,3,white
S_A13834;size=7;,S_A143177;size=1;,2,white
S_A13834;size=7;,S_A143772;size=1;,2,white
S_A13834;size=7;,S_A144016;size=1;,3,white
S_A13834;size=7;,S_A2456;size=49;,2,white
S_A13834;size=7;,S_A21927;size=8;,3,white
S_A13834;size=7;,S_A211376;size=1;,3,white
S_A13834;size=7;,S_A216451;size=1;,3,white
S_A13834;size=7;,S_A220778;size=1;,3,white
S_A13834;size=7;,S_A225534;size=1;,2,white
S_A13834;size=7;,S_A234235;size=1;,3,white
S_A13834;size=7;,S_A235973;size=1;,3,white
S_A13834;size=7;,S_A240179;size=1;,3,white
S_A13834;size=7;,S_A38001;size=1;,3,white
S_A13834;size=7;,S_A310931;size=1;,2,white
S_A13834;size=7;,S_A315750;size=1;,3,white
S_A13834;size=7;,S_A315889;size=1;,2,white
S_A13834;size=7;,S_A318369;size=1;,2,white
S_A13834;size=7;,S_A319397;size=1;,3,white
S_A13834;size=7;,S_A321666;size=1;,3,white
S_A13834;size=7;,S_A323793;size=1;,2,white
S_A13834;size=7;,S_A323925;size=1;,3,white
S_A13834;size=7;,S_A336551;size=1;,3,white
S_A13834;size=7;,S_A339794;size=1;,2,white
S_A13834;size=7;,S_A349756;size=1;,3,white
S_A13834;size=7;,S_A356159;size=1;,2,white
S_A13834;size=7;,S_A356166;size=1;,3,white
S_A13834;size=7;,S_A363739;size=1;,3,white
S_A13834;size=7;,S_A364710;size=1;,2,white
S_A13834;size=7;,S_A371946;size=1;,3,white
S_A13834;size=7;,S_TP3153;size=2;,2,white
S_A13834;size=7;,S_TP18911;size=1;,3,white
S_A13834;size=7;,S_TP20229;size=1;,3,white
S_A14328;size=5;,S_A15086;size=4;,2,white
S_A14328;size=5;,S_A15327;size=4;,1,black
S_A14328;size=5;,S_A17066;size=2;,2,white
S_A14328;size=5;,S_A111038;size=1;,3,white
S_A14328;size=5;,S_A113471;size=1;,2,white
S_A14328;size=5;,S_A114116;size=1;,2,white
S_A14328;size=5;,S_A116244;size=1;,3,white
S_A14328;size=5;,S_A117493;size=1;,3,white
S_A14328;size=5;,S_A118267;size=1;,2,white
S_A14328;size=5;,S_A120545;size=1;,3,white
S_A14328;size=5;,S_A122018;size=1;,3,white
S_A14328;size=5;,S_A122480;size=1;,3,white
S_A14328;size=5;,S_A124603;size=1;,3,white
S_A14328;size=5;,S_A128227;size=1;,2,white
S_A14328;size=5;,S_A135508;size=1;,3,white
S_A14328;size=5;,S_A137112;size=1;,2,white
S_A14328;size=5;,S_A142621;size=1;,1,black
S_A14328;size=5;,S_A143772;size=1;,1,black
S_A14328;size=5;,S_A144016;size=1;,3,white
S_A14328;size=5;,S_A145103;size=1;,3,white
S_A14328;size=5;,S_A2249;size=102;,2,white
S_A14328;size=5;,S_A2456;size=49;,3,white
S_A14328;size=5;,S_A2635;size=33;,2,white
S_A14328;size=5;,S_A21078;size=17;,3,white
S_A14328;size=5;,S_A21927;size=8;,1,black
S_A14328;size=5;,S_A22436;size=6;,3,white
S_A14328;size=5;,S_A216451;size=1;,3,white
S_A14328;size=5;,S_A219815;size=1;,3,white
S_A14328;size=5;,S_A220778;size=1;,2,white
S_A14328;size=5;,S_A223220;size=1;,3,white
S_A14328;size=5;,S_A226174;size=1;,3,white
S_A14328;size=5;,S_A233361;size=1;,3,white
S_A14328;size=5;,S_A235919;size=1;,2,white
S_A14328;size=5;,S_A235973;size=1;,2,white
S_A14328;size=5;,S_A3670;size=14;,3,white
S_A14328;size=5;,S_A32803;size=3;,3,white
S_A14328;size=5;,S_A316056;size=1;,2,white
S_A14328;size=5;,S_A318369;size=1;,3,white
S_A14328;size=5;,S_A320209;size=1;,3,white
S_A14328;size=5;,S_A321666;size=1;,3,white
S_A14328;size=5;,S_A322437;size=1;,3,white
S_A14328;size=5;,S_A335280;size=1;,3,white
S_A14328;size=5;,S_A336551;size=1;,3,white
S_A14328;size=5;,S_A338860;size=1;,3,white
S_A14328;size=5;,S_A339794;size=1;,3,white
S_A14328;size=5;,S_A349756;size=1;,3,white
S_A14328;size=5;,S_A356159;size=1;,3,white
S_A14328;size=5;,S_A360584;size=1;,1,black
S_A14328;size=5;,S_A363739;size=1;,2,white
S_A14328;size=5;,S_A364710;size=1;,3,white
S_A14328;size=5;,S_A368957;size=1;,2,white
S_A14328;size=5;,S_A371946;size=1;,3,white
S_A14328;size=5;,S_TP2172;size=3;,2,white
S_A14328;size=5;,S_TP3153;size=2;,3,white
S_A14328;size=5;,S_TP20229;size=1;,3,white
S_A14328;size=5;,S_TP20496;size=1;,2,white
S_A14491;size=5;,S_A115754;size=1;,3,white
S_A14491;size=5;,S_A140417;size=1;,1,black
S_A14491;size=5;,S_A32665;size=3;,3,white
S_A14491;size=5;,S_A323298;size=1;,3,white
S_A14491;size=5;,S_A356166;size=1;,3,white
S_A14491;size=5;,S_A363739;size=1;,3,white
S_A15080;size=4;,S_A110749;size=1;,3,white
S_A15080;size=4;,S_A215798;size=1;,2,white
S_A15080;size=4;,S_A313097;size=1;,3,white
S_A15080;size=4;,S_A323925;size=1;,3,white
S_A15080;size=4;,S_A355144;size=1;,3,white
S_A15086;size=4;,S_A15327;size=4;,2,white
S_A15086;size=4;,S_A17049;size=2;,3,white
S_A15086;size=4;,S_A17066;size=2;,3,white
S_A15086;size=4;,S_A17536;size=2;,3,white
S_A15086;size=4;,S_A111038;size=1;,3,white
S_A15086;size=4;,S_A113471;size=1;,3,white
S_A15086;size=4;,S_A114116;size=1;,3,white
S_A15086;size=4;,S_A114703;size=1;,3,white
S_A15086;size=4;,S_A115754;size=1;,3,white
S_A15086;size=4;,S_A116244;size=1;,2,white
S_A15086;size=4;,S_A116797;size=1;,3,white
S_A15086;size=4;,S_A118267;size=1;,2,white
S_A15086;size=4;,S_A122480;size=1;,3,white
S_A15086;size=4;,S_A124603;size=1;,2,white
S_A15086;size=4;,S_A128227;size=1;,3,white
S_A15086;size=4;,S_A137112;size=1;,3,white
S_A15086;size=4;,S_A142621;size=1;,3,white
S_A15086;size=4;,S_A143177;size=1;,3,white
S_A15086;size=4;,S_A143772;size=1;,1,black
S_A15086;size=4;,S_A144016;size=1;,3,white
S_A15086;size=4;,S_A2456;size=49;,2,white
S_A15086;size=4;,S_A21078;size=17;,3,white
S_A15086;size=4;,S_A21927;size=8;,2,white
S_A15086;size=4;,S_A211376;size=1;,3,white
S_A15086;size=4;,S_A214370;size=1;,3,white
S_A15086;size=4;,S_A216451;size=1;,3,white
S_A15086;size=4;,S_A220778;size=1;,2,white
S_A15086;size=4;,S_A225534;size=1;,3,white
S_A15086;size=4;,S_A234235;size=1;,3,white
S_A15086;size=4;,S_A235973;size=1;,1,black
S_A15086;size=4;,S_A316056;size=1;,3,white
S_A15086;size=4;,S_A318369;size=1;,2,white
S_A15086;size=4;,S_A319397;size=1;,3,white
S_A15086;size=4;,S_A323793;size=1;,3,white
S_A15086;size=4;,S_A339794;size=1;,3,white
S_A15086;size=4;,S_A349756;size=1;,3,white
S_A15086;size=4;,S_A356159;size=1;,2,white
S_A15086;size=4;,S_A356166;size=1;,3,white
S_A15086;size=4;,S_A360584;size=1;,3,white
S_A15086;size=4;,S_A363739;size=1;,2,white
S_A15086;size=4;,S_A364710;size=1;,2,white
S_A15086;size=4;,S_A368957;size=1;,3,white
S_A15086;size=4;,S_A371946;size=1;,3,white
S_A15086;size=4;,S_TP2172;size=3;,3,white
S_A15086;size=4;,S_TP3153;size=2;,2,white
S_A15086;size=4;,S_TP18911;size=1;,3,white
S_A15086;size=4;,S_TP20229;size=1;,3,white
S_A15327;size=4;,S_A17049;size=2;,3,white
S_A15327;size=4;,S_A17066;size=2;,3,white
S_A15327;size=4;,S_A17536;size=2;,3,white
S_A15327;size=4;,S_A18133;size=2;,3,white
S_A15327;size=4;,S_A18195;size=2;,3,white
S_A15327;size=4;,S_A113471;size=1;,3,white
S_A15327;size=4;,S_A114116;size=1;,3,white
S_A15327;size=4;,S_A114703;size=1;,3,white
S_A15327;size=4;,S_A115754;size=1;,3,white
S_A15327;size=4;,S_A116244;size=1;,2,white
S_A15327;size=4;,S_A116797;size=1;,3,white
S_A15327;size=4;,S_A117493;size=1;,2,white
S_A15327;size=4;,S_A118267;size=1;,1,black
S_A15327;size=4;,S_A124603;size=1;,3,white
S_A15327;size=4;,S_A128227;size=1;,1,black
S_A15327;size=4;,S_A137112;size=1;,3,white
